in s,C1 in V
-5.9516928E-01,-1.86035E+00
-5.9516006E-01,-1.87012E+00
-5.9515085E-01,-1.87988E+00
-5.9514163E-01,-1.84082E+00
-5.9513242E-01,-1.87012E+00
-5.9512320E-01,-1.84082E+00
-5.9511398E-01,-1.87988E+00
-5.9510477E-01,-1.86035E+00
-5.9509555E-01,-1.87988E+00
-5.9508634E-01,-1.86035E+00
-5.9507712E-01,-1.87988E+00
-5.9506790E-01,-1.86035E+00
-5.9505869E-01,-1.85059E+00
-5.9504947E-01,-1.86035E+00
-5.9504026E-01,-1.86035E+00
-5.9503104E-01,-1.86035E+00
-5.9502182E-01,-1.88965E+00
-5.9501261E-01,-1.86035E+00
-5.9500339E-01,-1.86035E+00
-5.9499418E-01,-1.85059E+00
-5.9498496E-01,-1.86035E+00
-5.9497574E-01,-1.86035E+00
-5.9496653E-01,-1.87988E+00
-5.9495731E-01,-1.85059E+00
-5.9494810E-01,-1.87012E+00
-5.9493888E-01,-1.88965E+00
-5.9492966E-01,-1.87988E+00
-5.9492045E-01,-1.86035E+00
-5.9491123E-01,-1.86035E+00
-5.9490202E-01,-1.84082E+00
-5.9489280E-01,-1.86035E+00
-5.9488358E-01,-1.85059E+00
-5.9487437E-01,-1.85059E+00
-5.9486515E-01,-1.87012E+00
-5.9485594E-01,-1.84082E+00
-5.9484672E-01,-1.88965E+00
-5.9483750E-01,-1.87988E+00
-5.9482829E-01,-1.86035E+00
-5.9481907E-01,-1.85059E+00
-5.9480986E-01,-1.87012E+00
-5.9480064E-01,-1.83105E+00
-5.9479142E-01,-1.86035E+00
-5.9478221E-01,-1.84082E+00
-5.9477299E-01,-1.86035E+00
-5.9476378E-01,-1.86035E+00
-5.9475456E-01,-1.86035E+00
-5.9474534E-01,-1.86035E+00
-5.9473613E-01,-1.86035E+00
-5.9472691E-01,-1.83105E+00
-5.9471770E-01,-1.86035E+00
-5.9470848E-01,-1.86035E+00
-5.9469926E-01,-1.86035E+00
-5.9469005E-01,-1.87012E+00
-5.9468083E-01,-1.85059E+00
-5.9467162E-01,-1.86035E+00
-5.9466240E-01,-1.86035E+00
-5.9465318E-01,-1.86035E+00
-5.9464397E-01,-1.84082E+00
-5.9463475E-01,-1.83105E+00
-5.9462554E-01,-1.83105E+00
-5.9461632E-01,-1.85059E+00
-5.9460710E-01,-1.84082E+00
-5.9459789E-01,-1.85059E+00
-5.9458867E-01,-1.86035E+00
-5.9457946E-01,-1.86035E+00
-5.9457024E-01,-1.84082E+00
-5.9456102E-01,-1.87012E+00
-5.9455181E-01,-1.86035E+00
-5.9454259E-01,-1.86035E+00
-5.9453338E-01,-1.87988E+00
-5.9452416E-01,-1.86035E+00
-5.9451494E-01,-1.85059E+00
-5.9450573E-01,-1.86035E+00
-5.9449651E-01,-1.86035E+00
-5.9448730E-01,-1.84082E+00
-5.9447808E-01,-1.85059E+00
-5.9446886E-01,-1.86035E+00
-5.9445965E-01,-1.84082E+00
-5.9445043E-01,-1.86035E+00
-5.9444122E-01,-1.84082E+00
-5.9443200E-01,-1.84082E+00
-5.9442278E-01,-1.85059E+00
-5.9441357E-01,-1.86035E+00
-5.9440435E-01,-1.84082E+00
-5.9439514E-01,-1.81152E+00
-5.9438592E-01,-1.85059E+00
-5.9437670E-01,-1.83105E+00
-5.9436749E-01,-1.86035E+00
-5.9435827E-01,-1.87012E+00
-5.9434906E-01,-1.84082E+00
-5.9433984E-01,-1.85059E+00
-5.9433062E-01,-1.84082E+00
-5.9432141E-01,-1.84082E+00
-5.9431219E-01,-1.85059E+00
-5.9430298E-01,-1.84082E+00
-5.9429376E-01,-1.86035E+00
-5.9428454E-01,-1.88965E+00
-5.9427533E-01,-1.82129E+00
-5.9426611E-01,-1.83105E+00
-5.9425690E-01,-1.83105E+00
-5.9424768E-01,-1.84082E+00
-5.9423846E-01,-1.83105E+00
-5.9422925E-01,-1.86035E+00
-5.9422003E-01,-1.85059E+00
-5.9421082E-01,-1.86035E+00
-5.9420160E-01,-1.87012E+00
-5.9419238E-01,-1.85059E+00
-5.9418317E-01,-1.85059E+00
-5.9417395E-01,-1.79199E+00
-5.9416474E-01,-1.85059E+00
-5.9415552E-01,-1.85059E+00
-5.9414630E-01,-1.86035E+00
-5.9413709E-01,-1.83105E+00
-5.9412787E-01,-1.84082E+00
-5.9411866E-01,-1.86035E+00
-5.9410944E-01,-1.86035E+00
-5.9410022E-01,-1.85059E+00
-5.9409101E-01,-1.80176E+00
-5.9408179E-01,-1.82129E+00
-5.9407258E-01,-1.82129E+00
-5.9406336E-01,-1.83105E+00
-5.9405414E-01,-1.85059E+00
-5.9404493E-01,-1.84082E+00
-5.9403571E-01,-1.82129E+00
-5.9402650E-01,-1.81152E+00
